method_id,seed,ckpt,n_val_pixels,median_bd_error,p90_bd_error,median_dr_error,p90_dr_error,dr_within_5samp_frac,median_rp_error,p90_rp_error,boundary_weighted_acc
p1_fd_manual4_spatA3_seed0_best,0,best.pt,1127,1.0,34.0,0.0,5.0,0.904170363797693,1.0,8.0,0.937142164842279
p1_fd_manual4_spatA3_seed0_last,0,last.pt,1127,25.0,34.0,1.0,80.39999999999998,0.6912156166814551,4.0,12.0,0.8822111718499549
p1_fd_manual4_spatA3_seed1_best,1,best.pt,1006,7.0,32.0,0.0,9.0,0.8608349900596421,5.0,5.0,0.9101781835164411
p1_fd_manual4_spatA3_seed1_last,1,last.pt,1006,7.0,34.0,1.0,9.0,0.7594433399602386,4.0,6.0,0.9089178046229213
p1_fd_manual4_spatA3_seed2_best,2,best.pt,1127,7.0,28.0,0.0,9.0,0.8544809228039042,4.0,6.0,0.9101565568074118
p1_fd_manual4_spatA3_seed2_last,2,last.pt,1127,7.0,34.0,1.0,9.0,0.735581188997338,4.0,9.0,0.901087240408301
p1_fd_manual4_spatA3_bb_gru_seed0_best,0,best.pt,1127,19.0,21.0,2.0,7.0,0.8358473824312334,4.0,6.0,0.8759412672124315
p1_fd_manual4_spatA3_bb_gru_seed0_last,0,last.pt,1127,17.0,24.0,6.0,7.0,0.18456078083407276,,,0.832842004142883
p1_fd_manual4_spatA3_bb_gru_seed1_best,1,best.pt,1006,15.0,26.0,0.0,9.0,0.8339960238568589,4.0,6.0,0.895357426352865
p1_fd_manual4_spatA3_bb_gru_seed1_last,1,last.pt,1006,19.0,23.0,4.0,5.0,0.9463220675944334,3.0,9.0,0.8768538755454376
p1_fd_manual4_spatA3_bb_gru_seed2_best,2,best.pt,1127,13.0,27.0,1.0,8.0,0.8482697426796806,4.0,6.0,0.8987450307906237
p1_fd_manual4_spatA3_bb_gru_seed2_last,2,last.pt,1127,14.0,27.0,1.0,8.0,0.8482697426796806,3.0,8.0,0.893128884647579
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed0_best,0,best.pt,1127,14.0,27.0,1.0,9.0,0.8402839396628217,3.0,7.0,0.8911808003987393
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed0_last,0,last.pt,1127,17.0,42.0,4.0,6.0,0.8438331854480923,5.0,11.0,0.8508898857808515
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed1_best,1,best.pt,1006,11.0,29.0,1.0,8.0,0.8538767395626242,3.0,8.0,0.8958107529285423
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed1_last,1,last.pt,1006,14.5,32.0,3.0,7.0,0.7564612326043738,4.0,11.0,0.875096275774556
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed2_best,2,best.pt,1127,12.0,30.0,2.0,7.0,0.8553682342502218,3.0,7.0,0.8920076125380052
p1_fd_manual4_spatA3_bb_cnn_gru_par_seed2_last,2,last.pt,1127,8.0,29.0,3.0,6.0,0.8571428571428571,6.0,12.0,0.8708120555413528
