seed,well,log10_conc,n_pixels,true_ttp_min,median_pred_ttp_min,signed_error_min,mae_min
0,0,9.0,923,8.577500343322754,21.066666666666666,12.489166323343913,12.489166323343913
0,1,8.0,938,10.600000381469727,21.0,10.399999618530273,10.399999618530273
0,2,7.0,1056,14.987500190734863,16.533333333333335,1.5458331425984717,1.8791664759318039
0,3,6.0,936,16.998750686645508,21.066666666666666,4.067915980021159,4.067915980021159
0,4,5.0,1161,21.046249389648438,21.066666666666666,0.02041727701822893,0.1537506103515618
1,0,9.0,923,8.577500343322754,21.066666666666666,12.489166323343913,12.489166323343913
1,1,8.0,938,10.600000381469727,21.066666666666666,10.46666628519694,10.46666628519694
1,2,7.0,1056,14.987500190734863,21.066666666666666,6.079166475931803,6.079166475931803
1,3,6.0,936,16.998750686645508,21.066666666666666,4.067915980021159,4.067915980021159
1,4,5.0,1161,21.046249389648438,21.066666666666666,0.02041727701822893,0.02041727701822893
2,0,9.0,923,8.577500343322754,21.066666666666666,12.489166323343913,12.489166323343913
2,1,8.0,938,10.600000381469727,21.066666666666666,10.46666628519694,10.46666628519694
2,2,7.0,1056,14.987500190734863,21.066666666666666,6.079166475931803,6.079166475931803
2,3,6.0,936,16.998750686645508,21.066666666666666,4.067915980021159,4.067915980021159
2,4,5.0,1161,21.046249389648438,21.066666666666666,0.02041727701822893,0.02041727701822893
