method,fold,n_seeds,best3_mae_chip,best3_mae_plate,median_rho,best_seed_mae_chip,n_pass,pass_frac
F-B (no SSL),1,5,1.521147608757019,4.248750091393789,-0.8148769172359115,0.8342781066894531,2,0.4
F-B (no SSL),2,5,1.558482050895691,3.193715302944183,,0.9254459738731384,2,0.4
F-B (no SSL),3,5,2.6514158248901367,6.33234356323878,-0.95,2.568082332611084,5,1.0
F-B (no SSL),4,5,0.37730661034584045,4.5823437221845,-0.9621023987294832,0.3608013391494751,5,1.0
F-B (no SSL),5,5,3.1947786808013916,3.80456591129303,,1.917669653892517,3,0.6
F-B + SSL,1,5,2.654975414276123,4.526527842680614,,1.4630365371704102,2,0.4
F-B + SSL,2,5,1.710981011390686,1.0826041984558106,,1.7109811305999756,1,0.2
F-B + SSL,3,5,2.498068332672119,4.55456595102946,,1.494205117225647,2,0.4
F-B + SSL,4,5,0.38936424255371094,4.526788199742636,-0.9559937503105924,0.3608013391494751,4,0.8
F-B + SSL,5,5,4.392317295074463,5.110121552944183,,1.7602856159210205,3,0.6
A1 α=0.5 (no SSL),1,5,7.385902404785156,10.109861176013947,-0.55,4.417611122131348,0,0.0
A1 α=0.5 (no SSL),2,5,4.761241436004639,7.5548263478279125,-0.7205107927499322,1.622352123260498,2,0.4
A1 α=0.5 (no SSL),3,5,5.9847493171691895,9.66567705551783,-0.44447831849231534,4.484749794006348,0,0.0
A1 α=0.5 (no SSL),4,5,7.299768924713135,11.637899403572083,,1.1587592363357544,1,0.2
A1 α=0.5 (no SSL),5,5,7.1110100746154785,9.499010368982951,-0.8889566369846307,1.3350353240966797,4,0.8
A1 α=0.5 + SSL,1,5,8.195388793945312,11.026527802944182,-0.47915742374995496,4.417611598968506,1,0.2
A1 α=0.5 + SSL,2,5,3.5390186309814453,6.3326040593783075,-0.7694837640638656,2.2890186309814453,2,0.4
A1 α=0.5 + SSL,3,5,3.79030442237854,7.471232577959697,,3.1514158248901367,2,0.4
A1 α=0.5 + SSL,4,5,1.1192545890808105,4.832343761920929,-0.4528391448839649,0.6603172421455383,2,0.4
A1 α=0.5 + SSL,5,5,6.4365997314453125,9.3045658715566,0.2515773027133138,5.228471755981445,2,0.4
A3 α=0.5 (no SSL),1,5,0.9554988741874695,3.776527723471324,-0.8835852486128687,0.5842780470848083,4,0.8
A3 α=0.5 (no SSL),2,5,1.7612409591674805,4.554826327959696,-0.8553628292252671,0.8723521828651428,3,0.6
A3 α=0.5 (no SSL),3,5,5.818082332611084,9.49901028951009,-0.9081292832965596,3.4014158248901367,3,0.6
A3 α=0.5 (no SSL),4,5,0.4215897023677826,4.693454846541087,-0.9621023987294832,0.3608013391494751,5,1.0
A3 α=0.5 (no SSL),5,4,2.8616783618927,4.249010428587596,,1.0017019510269165,2,0.5
A3 α=0.5 + SSL,1,4,0.7643494606018066,2.915416678587596,-0.810875064305465,0.2987881898880005,2,0.5
A3 α=0.5 + SSL,2,5,0.9574506878852844,3.165937531789144,,0.705685555934906,1,0.2
A3 α=0.5 + SSL,3,5,1.9601234197616577,5.637899185021719,-0.9308360200392612,0.7442051768302917,5,1.0
A3 α=0.5 + SSL,4,5,0.8074667453765869,4.665677095254263,-0.9421630606623846,0.3608013391494751,4,0.8
A3 α=0.5 + SSL,5,3,2.8346493244171143,4.7767881600062045,-0.6076436202502,0.9892516136169434,1,0.3333333333333333
